"Date","Price","Open","High","Low","Vol.","Change %"
"04/18/2018","0.9996","0.9990","1.0010","0.9982","897.88K","0.06%"
"04/17/2018","0.9990","0.9997","1.0029","0.9986","1.06M","-0.07%"
"04/16/2018","0.9997","1.0002","1.0029","0.9982","1.94M","-0.06%"
"04/15/2018","1.0003","1.0002","1.0010","0.9983","722.99K","0.01%"
"04/14/2018","1.0002","1.0000","1.0022","0.9997","783.00K","0.02%"
"04/13/2018","1.0000","0.9991","1.0022","0.9981","2.80M","0.09%"
"04/12/2018","0.9991","0.9995","1.0000","0.9950","2.36M","-0.04%"
"04/11/2018","0.9995","0.9999","1.0000","0.9980","752.36K","-0.04%"
"04/10/2018","0.9999","0.9987","1.0000","0.9984","418.47K","0.12%"
"04/09/2018","0.9987","0.9977","1.0018","0.9977","858.68K","0.10%"
"04/08/2018","0.9977","1.0012","1.0012","0.9951","1.49M","-0.35%"
"04/07/2018","1.0012","0.9999","1.0023","0.9972","2.98M","0.13%"
"04/06/2018","0.9999","0.9991","1.0008","0.9972","1.04M","0.08%"
"04/05/2018","0.9991","0.9996","1.0007","0.9972","925.83K","-0.05%"
"04/04/2018","0.9996","1.0000","1.0013","0.9953","1.67M","-0.04%"
"04/03/2018","1.0000","0.9996","1.0012","0.9953","1.16M","0.04%"
"04/02/2018","0.9996","0.9999","1.0012","0.9975","614.54K","-0.03%"
"04/01/2018","0.9999","0.9972","1.0012","0.9935","1.97M","0.27%"
"03/31/2018","0.9972","0.9950","1.0004","0.9950","341.58K","0.22%"
"03/30/2018","0.9950","0.9974","1.0012","0.9925","2.52M","-0.24%"
"03/29/2018","0.9974","0.9996","1.0037","0.9950","2.95M","-0.22%"
"03/28/2018","0.9996","1.0005","1.0020","0.9988","718.50K","-0.09%"
"03/27/2018","1.0005","1.0010","1.0027","0.9984","1.47M","-0.05%"
"03/26/2018","1.0010","1.0006","1.0010","0.9980","1.23M","0.04%"
"03/25/2018","1.0006","1.0009","1.0010","0.9981","586.83K","-0.03%"
"03/24/2018","1.0009","1.0001","1.0009","0.9983","677.45K","0.08%"
"03/23/2018","1.0001","1.0003","1.0010","0.9983","1.50M","-0.02%"
"03/22/2018","1.0003","1.0007","1.0012","0.9996","927.74K","-0.04%"
"03/21/2018","1.0007","1.0013","1.0013","0.9920","1.02M","-0.06%"
"03/20/2018","1.0013","1.0000","1.0030","0.9970","1.78M","0.13%"
"03/19/2018","1.0000","0.9969","1.0038","0.9900","1.95M","0.31%"
"03/18/2018","0.9969","1.0010","1.0020","0.9921","2.70M","-0.41%"
"03/17/2018","1.0010","1.0000","1.0014","0.9924","963.31K","0.10%"
"03/16/2018","1.0000","0.9994","1.0014","0.9965","1.25M","0.06%"
"03/15/2018","0.9994","0.9984","1.0050","0.9920","4.35M","0.10%"
"03/14/2018","0.9984","1.0008","1.0029","0.9944","1.78M","-0.24%"
"03/13/2018","1.0008","0.9999","1.0040","0.9980","1.97M","0.09%"
"03/12/2018","0.9999","1.0008","1.0049","0.9984","1.09M","-0.09%"
"03/11/2018","1.0008","1.0017","1.0039","0.9995","957.06K","-0.09%"
"03/10/2018","1.0017","1.0014","1.0078","0.9999","1.20M","0.03%"
"03/09/2018","1.0014","1.0011","1.0070","0.9991","2.66M","0.03%"
"03/08/2018","1.0011","1.0012","1.0060","0.9995","5.02M","-0.01%"
"03/07/2018","1.0012","1.0002","1.0020","0.9996","2.39M","0.10%"
"03/06/2018","1.0002","1.0000","1.0003","0.9996","2.76M","0.05%"
"03/05/2018","0.9997","1.0000","1.0000","0.9997","2.53M","-0.03%"
"03/04/2018","1.0000","0.9991","1.0008","0.9991","980.94K","0.04%"
"03/03/2018","0.9996","0.9991","1.0008","0.9990","902.85K","0.05%"
"03/02/2018","0.9991","0.9998","1.0010","0.9990","844.88K","-0.07%"
"03/01/2018","0.9998","0.9999","1.0039","0.9983","3.72M","-0.01%"
"02/28/2018","0.9999","1.0011","1.0021","0.9995","2.05M","-0.12%"
"02/27/2018","1.0011","1.0005","1.0033","1.0005","1.03M","0.06%"
"02/26/2018","1.0005","1.0008","1.0035","0.9995","4.39M","-0.03%"
"02/25/2018","1.0008","1.0012","1.0050","1.0002","2.83M","-0.04%"
"02/24/2018","1.0012","1.0001","1.0026","1.0001","2.33M","0.11%"
"02/23/2018","1.0001","1.0008","1.0024","1.0001","2.79M","-0.07%"
"02/22/2018","1.0008","1.0020","1.0027","0.9990","3.80M","-0.12%"
"02/21/2018","1.0020","1.0012","1.0059","0.9970","4.11M","0.08%"
"02/20/2018","1.0012","1.0020","1.0094","1.0000","2.78M","-0.08%"
"02/19/2018","1.0020","1.0048","1.0071","1.0016","1.70M","-0.28%"
"02/18/2018","1.0048","1.0047","1.0140","1.0022","3.38M","0.01%"
"02/17/2018","1.0047","1.0021","1.0062","1.0011","1.38M","0.20%"
"02/16/2018","1.0027","1.0031","1.0043","1.0015","1.69M","-0.04%"
"02/15/2018","1.0031","1.0008","1.0071","1.0003","2.36M","0.23%"
"02/14/2018","1.0008","1.0000","1.0045","0.9995","1.65M","0.08%"
"02/13/2018","1.0000","0.9992","1.0049","0.9980","1.58M","0.08%"
"02/12/2018","0.9992","0.9997","1.0039","0.9980","1.51M","-0.05%"
"02/11/2018","0.9997","1.0004","1.0050","0.9981","2.54M","-0.07%"
"02/10/2018","1.0004","1.0011","1.0071","1.0000","2.99M","-0.07%"
"02/09/2018","1.0011","0.9975","1.0071","0.9970","1.72M","0.36%"
"02/08/2018","0.9975","0.9986","1.0035","0.9950","1.73M","-0.11%"
"02/07/2018","0.9986","1.0003","1.0138","0.9950","3.39M","-0.17%"
"02/06/2018","1.0003","0.9842","1.0045","0.9700","10.21M","1.64%"
"02/05/2018","0.9842","0.9914","0.9964","0.9820","7.56M","-0.73%"
"02/04/2018","0.9914","0.9916","0.9968","0.9850","3.04M","-0.02%"
"02/03/2018","0.9916","0.9883","0.9968","0.9811","3.67M","0.33%"
"02/02/2018","0.9883","0.9794","0.9897","0.9400","10.26M","0.91%"
"02/01/2018","0.9794","0.9850","0.9946","0.9700","11.72M","-0.57%"
"01/31/2018","0.9850","0.9803","0.9988","0.9765","5.99M","0.48%"
"01/30/2018","0.9803","0.9913","0.9997","0.9751","14.07M","-1.11%"
"01/29/2018","0.9913","0.9795","0.9980","0.9500","6.18M","1.20%"
"01/28/2018","0.9795","0.9950","0.9970","0.9340","5.22M","-1.56%"
"01/27/2018","0.9950","1.0004","1.0087","0.9950","4.90M","-0.54%"
"01/26/2018","1.0004","1.0028","1.0054","0.9968","3.10M","-0.24%"
"01/25/2018","1.0028","1.0036","1.0084","0.9964","4.77M","-0.08%"
"01/24/2018","1.0036","1.0030","1.0088","1.0013","4.81M","0.06%"
"01/23/2018","1.0030","1.0093","1.0115","1.0001","5.88M","-0.62%"
"01/22/2018","1.0093","1.0068","1.0150","1.0027","4.13M","0.25%"
"01/21/2018","1.0068","1.0122","1.0160","1.0051","2.31M","-0.53%"
"01/20/2018","1.0122","1.0174","1.0200","1.0054","3.13M","-0.51%"
"01/19/2018","1.0174","1.0235","1.0600","1.0150","7.38M","-0.60%"
"01/18/2018","1.0235","1.0126","1.0779","1.0118","4.57M","1.08%"
"01/17/2018","1.0126","1.0300","1.0450","1.0023","11.23M","-1.69%"
"01/16/2018","1.0300","1.0034","1.0434","1.0018","8.32M","2.65%"
"01/15/2018","1.0034","1.0082","1.0130","1.0000","5.82M","-0.48%"
"01/14/2018","1.0082","1.0100","1.0190","0.9996","5.07M","-0.18%"
"01/13/2018","1.0100","1.0170","1.0170","0.9926","773.77K","1.59%"
"01/11/2018","0.9942","1.0000","1.0089","0.9942","1.24M","-0.58%"
"01/10/2018","1.0000","1.0100","1.0100","0.9960","3.03M","-0.99%"
"01/09/2018","1.0100","1.0000","1.0100","1.0000","2.50M","1.00%"
"01/08/2018","1.0000","0.9970","1.0000","0.9720","3.22M","0.30%"
"01/07/2018","0.9970","1.0000","1.0000","0.9900","1.21M","-0.30%"
"01/06/2018","1.0000","1.0000","1.0100","0.9955","1.81M","0.00%"
"01/05/2018","1.0000","1.0200","1.0200","0.9993","3.27M","-1.96%"
"01/04/2018","1.0200","1.0100","1.0200","1.0100","2.31M","0.99%"
"01/03/2018","1.0100","1.0200","1.0200","1.0000","1.09M","-0.98%"
"01/02/2018","1.0200","1.0100","1.0200","1.0100","915.82K","0.99%"
"01/01/2018","1.0100","1.0200","1.0300","1.0100","1.62M","-0.98%"
"12/31/2017","1.0200","1.0200","1.0300","1.0100","973.14K","0.00%"
"12/30/2017","1.0200","1.0200","1.0300","1.0200","4.03M","0.00%"
"12/29/2017","1.0200","1.0200","1.0200","1.0100","1.81M","0.00%"
"12/28/2017","1.0200","1.0100","1.0300","1.0000","5.00M","0.99%"
"12/27/2017","1.0100","1.0000","1.0100","0.9952","1.77M","1.00%"
